nitrogen:oxygen 0.8:0.2

Mobility *N (1/m/V/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000056e-01 9.981999999999999417e+24
1.233000000000000068e-01 9.420999999999999897e+24
1.519999999999999962e-01 8.994000000000000247e+24
1.874000000000000110e-01 8.653999999999999920e+24
2.310000000000000109e-01 8.359000000000000094e+24
2.847999999999999976e-01 8.072999999999999939e+24
3.511000000000000232e-01 7.774000000000000021e+24
4.329000000000000070e-01 7.452000000000000109e+24
5.336999999999999522e-01 7.107000000000000203e+24
6.579000000000000403e-01 6.743000000000000396e+24
8.111000000000000432e-01 6.371000000000000405e+24
1.000000000000000000e+00 5.991999999999999715e+24
1.233000000000000096e+00 5.609000000000000006e+24
1.520000000000000018e+00 5.214000000000000021e+24
1.874000000000000110e+00 4.797000000000000065e+24
2.310000000000000053e+00 4.355000000000000069e+24
2.847999999999999865e+00 3.899999999999999774e+24
3.511000000000000121e+00 3.460999999999999847e+24
4.328999999999999737e+00 3.068999999999999931e+24
5.336999999999999744e+00 2.737999999999999811e+24
6.578999999999999737e+00 2.469000000000000048e+24
8.111000000000000654e+00 2.253999999999999920e+24
1.000000000000000000e+01 2.081999999999999979e+24
1.233000000000000007e+01 1.942999999999999994e+24
1.519999999999999929e+01 1.828000000000000025e+24
1.873999999999999844e+01 1.731999999999999958e+24
2.310000000000000142e+01 1.648999999999999922e+24
2.848000000000000043e+01 1.574000000000000071e+24
3.510999999999999943e+01 1.504000000000000067e+24
4.328999999999999915e+01 1.435000000000000086e+24
5.336999999999999744e+01 1.365000000000000082e+24
6.579000000000000625e+01 1.297000000000000124e+24
8.110999999999999943e+01 1.232999999999999990e+24
1.000000000000000000e+02 1.173999999999999971e+24
1.232999999999999972e+02 1.119000000000000044e+24
1.520000000000000000e+02 1.068999999999999964e+24
1.874000000000000057e+02 1.019000000000000019e+24
2.310000000000000000e+02 9.706000000000000566e+23
2.848000000000000114e+02 9.221000000000000115e+23
3.511000000000000227e+02 8.742000000000000608e+23
4.328999999999999773e+02 8.268999999999999360e+23
5.337000000000000455e+02 7.802999999999999885e+23
6.578999999999999773e+02 7.343999999999999497e+23
8.111000000000000227e+02 6.893000000000000367e+23
1.000000000000000000e+03 6.454999999999999927e+23
-----------------------


Diffusion coefficient *N (1/m/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000056e-01 1.215000000000000111e+24
1.233000000000000068e-01 1.220999999999999981e+24
1.519999999999999962e-01 1.225000000000000073e+24
1.874000000000000110e-01 1.228999999999999897e+24
2.310000000000000109e-01 1.232999999999999990e+24
2.847999999999999976e-01 1.238000000000000105e+24
3.511000000000000232e-01 1.243999999999999975e+24
4.329000000000000070e-01 1.250999999999999868e+24
5.336999999999999522e-01 1.260000000000000075e+24
6.579000000000000403e-01 1.271000000000000061e+24
8.111000000000000432e-01 1.285000000000000115e+24
1.000000000000000000e+00 1.302999999999999994e+24
1.233000000000000096e+00 1.327000000000000010e+24
1.520000000000000018e+00 1.359999999999999966e+24
1.874000000000000110e+00 1.406999999999999977e+24
2.310000000000000053e+00 1.470000000000000088e+24
2.847999999999999865e+00 1.545999999999999962e+24
3.511000000000000121e+00 1.626999999999999952e+24
4.328999999999999737e+00 1.703000000000000094e+24
5.336999999999999744e+00 1.764999999999999914e+24
6.578999999999999737e+00 1.813999999999999971e+24
8.111000000000000654e+00 1.848999999999999973e+24
1.000000000000000000e+01 1.871999999999999966e+24
1.233000000000000007e+01 1.887000000000000044e+24
