nitrogen:oxygen:methane 0.4:0.1:0.5

Mobility *N (1/m/V/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000056e-01 2.338000000000000033e+25
1.233000000000000068e-01 2.313000000000000208e+25
1.519999999999999962e-01 2.283000000000000160e+25
1.874000000000000110e-01 2.247999999999999889e+25
2.310000000000000109e-01 2.205999999999999994e+25
2.847999999999999976e-01 2.157000000000000045e+25
3.511000000000000232e-01 2.099999999999999911e+25
4.329000000000000070e-01 2.036999999999999854e+25
5.336999999999999522e-01 1.966000000000000041e+25
6.579000000000000403e-01 1.887999999999999960e+25
8.111000000000000432e-01 1.801999999999999909e+25
1.000000000000000000e+00 1.709999999999999934e+25
1.233000000000000096e+00 1.609999999999999989e+25
1.520000000000000018e+00 1.505000000000000036e+25
1.874000000000000110e+00 1.393999999999999945e+25
2.310000000000000053e+00 1.279999999999999893e+25
2.847999999999999865e+00 1.163000000000000093e+25
3.511000000000000121e+00 1.041999999999999986e+25
4.328999999999999737e+00 9.149999999999999551e+24
5.336999999999999744e+00 7.822000000000000055e+24
6.578999999999999737e+00 6.507999999999999807e+24
8.111000000000000654e+00 5.341000000000000266e+24
1.000000000000000000e+01 4.412999999999999797e+24
1.233000000000000007e+01 3.727000000000000078e+24
1.519999999999999929e+01 3.232999999999999956e+24
1.873999999999999844e+01 2.874000000000000264e+24
2.310000000000000142e+01 2.600999999999999872e+24
2.848000000000000043e+01 2.376000000000000050e+24
3.510999999999999943e+01 2.162999999999999969e+24
4.328999999999999915e+01 1.934000000000000055e+24
5.336999999999999744e+01 1.689000000000000040e+24
6.579000000000000625e+01 1.457000000000000057e+24
8.110999999999999943e+01 1.264999999999999922e+24
1.000000000000000000e+02 1.116999999999999998e+24
1.232999999999999972e+02 1.008000000000000034e+24
1.520000000000000000e+02 9.257000000000000409e+23
1.874000000000000057e+02 8.625000000000000325e+23
2.310000000000000000e+02 8.121000000000000241e+23
2.848000000000000114e+02 7.701999999999999434e+23
3.511000000000000227e+02 7.340000000000000210e+23
4.328999999999999773e+02 7.019999999999999539e+23
5.337000000000000455e+02 6.728000000000000587e+23
6.578999999999999773e+02 6.454000000000000440e+23
8.111000000000000227e+02 6.188999999999999696e+23
1.000000000000000000e+03 5.924999999999999780e+23
-----------------------


Diffusion coefficient *N (1/m/s)
COMMENT: generated by bolsig_convert.py
-----------------------
1.000000000000000056e-01 1.096000000000000050e+24
1.233000000000000068e-01 1.137000000000000057e+24
1.519999999999999962e-01 1.179999999999999975e+24
1.874000000000000110e-01 1.226000000000000096e+24
2.310000000000000109e-01 1.274999999999999885e+24
2.847999999999999976e-01 1.324999999999999964e+24
3.511000000000000232e-01 1.378000000000000113e+24
4.329000000000000070e-01 1.433000000000000040e+24
5.336999999999999522e-01 1.490000000000000013e+24
6.579000000000000403e-01 1.548000000000000008e+24
8.111000000000000432e-01 1.607000000000000027e+24
1.000000000000000000e+00 1.668000000000000092e+24
1.233000000000000096e+00 1.731999999999999958e+24
1.520000000000000018e+00 1.796000000000000092e+24
1.874000000000000110e+00 1.863000000000000027e+24
2.310000000000000053e+00 1.935000000000000078e+24
2.847999999999999865e+00 2.016000000000000067e+24
3.511000000000000121e+00 2.111000000000000111e+24
4.328999999999999737e+00 2.229999999999999904e+24
5.336999999999999744e+00 2.378000000000000096e+24
6.578999999999999737e+00 2.540000000000000075e+24
8.111000000000000654e+00 2.688999999999999755e+24
1.000000000000000000e+01 2.804000000000000260e+24
